id	author	book_title	publisher	Genre
407	Anders Birley	Donovan's Brain	Harper Collins	Thriller
408	Millicent Rasor	Until the End of the World (Bis ans Ende der Welt)	Harper Collins	Self-help
409	Jennette Lesser	"Crew, The"	Penguin	Science
410	Chastity Beccera	Spider-Man: The Ultimate Villain Showdown	Hachette	Psychology
411	Noak Flintoft	Essential Killing	Hachette	Self-help
412	Barbette Stell	Achilles and the Tortoise (Akiresu to kame)	Hachette	Psychology
413	Lianne Seabrooke	Molière	Harper Collins	Thriller
414	Levin Flett	Whiteboyz	Penguin	Romancs
415	Emmery Pettitt	Delusion	MacMillan	Psychology
416	Lainey Gloy	End of the Century: The Story of the Ramones	Simon & Schuster	Science
417	Nora Laetham	Hide in Plain Sight	MacMillan	Languages
418	Emeline Rigby	Time of Eve (Eve no jikan)	Simon & Schuster	Science
419	Johnnie Bocke	Niagara Motel	Penguin	Self-help
420	Hammad Pink	"Clink of Ice, The (a.k.a.: Sound of Ice Cubes, The) (Le bruit des glaçons)"	Simon & Schuster	Self-help
421	Darrelle Willman	When the Road Bends: Tales of a Gypsy Caravan	Simon & Schuster	Science
422	Rachele Tellenbroker	"Lady in Number 6: Music Saved My Life, The"	Penguin	Psychology
423	Ker Garman	"Imposter, The"	Simon & Schuster	Thriller
424	Jandy Sackler	"Subject Was Roses, The"	MacMillan	Self-help
425	Cassandry Orhrt	Barcelona	MacMillan	Psychology
426	Mirabel Fairlam	Switchback	Simon & Schuster	Psychology
427	Irena Dosedale	"Cat's-Paw, The"	MacMillan	Languages
428	Codee Vinsen	"Mysterious X, The (Sealed Orders) (Det hemmelighedsfulde X)"	Simon & Schuster	Science
429	Marilyn Biggins	Kate & Leopold	Harper Collins	Psychology
430	Puff Terney	Limbo	Simon & Schuster	Languages
431	Cherish Garrison	Live Flesh (Carne trémula)	Hachette	Romancs
432	Carlina Lidster	Texas Terror	Penguin	Science
433	Damiano Tainton	Dog Day (Canicule)	Simon & Schuster	Self-help
434	Consalve Penquet	Muzi v nadeji	Harper Collins	Romancs
435	Imojean Jewson	Outpost	Harper Collins	Languages
436	Spence Buret	Sounder	Hachette	Thriller
437	Melva Sings	"Hand of Death, The (Shao Lin men)"	MacMillan	Thriller
438	Fowler Collen	Gambit	MacMillan	Self-help
439	Claiborn Clapston	The Rebel	Penguin	Self-help
440	Gillie Minshaw	That Was Then... This Is Now	Harper Collins	Psychology
441	Ivory Jochens	Crimes Against Humanity	Penguin	Romancs
442	Nichols Slegg	Miami Blues	MacMillan	Psychology
443	Beauregard Weldrick	Get Out Your Handkerchiefs (Préparez vos mouchoirs)	Penguin	Romancs
444	Teriann Havesides	The Land Before Time IX: Journey to the Big Water	Harper Collins	Psychology
445	Ryann Pocklington	"Country Girl, The"	Harper Collins	Science
446	Tiertza Cale	Ixcanul Volcano	Hachette	Psychology
447	Kippy McDavid	Au Hasard Balthazar	MacMillan	Languages
448	Edee Reina	Soloalbum	MacMillan	Psychology
449	Menard Valentelli	Romeo Must Die	MacMillan	Thriller
450	Timmie Espinel	Poor Us: An Animated History of Poverty	Penguin	Thriller
451	Olag Drogan	Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers)	Harper Collins	Psychology
452	Nancey Whyffen	"Embalmer, The (Imbalsamatore, L')"	Hachette	Thriller
453	Elonore Yewman	Beyond Rangoon	Hachette	Thriller
454	Danell Ladewig	Little Italy	MacMillan	Romancs
455	Rourke Ales	"Family, The"	Hachette	Science
456	Ellsworth Cruickshanks	Women in Trouble	Hachette	Languages
457	Ferdinand Stickland	Life	MacMillan	Psychology
458	Eilis Luttgert	"Alphabet Killer, The"	Hachette	Science
459	Denver Brydson	Double Impact	Hachette	Science
460	Dniren Ayscough	"Proposition, The"	Simon & Schuster	Thriller
461	Kathi McAreavey	Winners and Sinners (Qi mou miao ji: Wu fu xing)	MacMillan	Thriller
462	Hastie Venton	Blood into Wine	Penguin	Science
463	Aldis Massen	Rude	Simon & Schuster	Romancs
464	Skell Vaadeland	Camille Claudel	Harper Collins	Science
465	Krystal Blampey	My Fair Lady	Simon & Schuster	Romancs
466	Callie Allwood	Assassin of the Tsar	MacMillan	Self-help
467	Trudi Balsillie	"Champ, The"	Simon & Schuster	Psychology
468	Hagen Tweedell	Switching Channels	Penguin	Science
469	Adan Pyser	Dark and Stormy Night	Simon & Schuster	Science
470	Isabeau Airlie	My Little Pony: Equestria Girls	Simon & Schuster	Languages
471	Dynah McGarahan	"Red Badge of Courage, The"	MacMillan	Self-help
472	Binny Barrett	Charlie: The Life and Art of Charles Chaplin	MacMillan	Thriller
473	Cesya Goldman	Saratoga Trunk	Hachette	Thriller
474	Hale Shorrock	8 Million Ways to Die	MacMillan	Self-help
475	Amy Diddams	"Fidanzati, I (Fiances, The)"	Simon & Schuster	Languages
476	Rahal Vaisey	Kids World	Penguin	Science
477	Annaliese Loveguard	Halo Legends	Hachette	Thriller
478	Odelle Melsome	American Me	Harper Collins	Psychology
479	Tuckie Franchioni	Stitch! The Movie	Harper Collins	Romancs
480	Netty Bonelle	Odd Couple (Bo ming chan dao duo ming qiang) (Eternal Conflict)	Hachette	Languages
481	Sawyere Aurelius	Quackser Fortune Has a Cousin in the Bronx	MacMillan	Thriller
482	Gabbie Fridlington	Bubble Boy	Simon & Schuster	Thriller
483	Shepard Hunstone	"Christmas Carol, A"	MacMillan	Romancs
484	Israel Quincey	My Life in Pink (Ma vie en rose)	Penguin	Romancs
485	Umberto Holby	Nixon by Nixon: In His Own Words	Penguin	Romancs
486	Dulcea Calbrathe	The Loft	Harper Collins	Psychology
487	Olivette Cafferty	Dragon Ball Z: Bardock - The Father of Goku (Doragon bôru Z: Tatta hitori no saishuu kessen - Furiiza ni itonda Z senshi Kakarotto no chichi)	MacMillan	Thriller
488	Helene Stebbings	Death Rides a Horse (Da uomo a uomo)	Penguin	Science
489	Miguela Mackstead	Pure	Penguin	Science
490	Atlanta MacGarvey	Linewatch	Penguin	Science
491	Duky Warner	Kafka	Harper Collins	Romancs
492	Bethina Jindacek	Winter's Bone	Hachette	Languages
493	Vasily Czajkowska	"Great Diamond Robbery, The"	MacMillan	Romancs
494	Gene Ambrogini	Cradle Will Rock	Harper Collins	Self-help
495	Zulema Gredden	Galaxy Express 999 (Ginga tetsudô Three-Nine)	MacMillan	Self-help
496	Lawton Fourman	La cravate	Penguin	Science
497	Hazel Spottswood	"Town, The"	Hachette	Science
498	Happy Sliney	Tango	MacMillan	Thriller
499	Gibb Rapson	"Heiress, The"	MacMillan	Romancs
500	Bendick Jirusek	Sandra of a Thousand Delights (Vaghe stelle dell'Orsa...)	Penguin	Science
501	Sigismundo Seary	Rainbow Valley	Penguin	Languages
502	Judon Farfoot	My Ain Folk	Hachette	Psychology
503	Shelagh Micheli	Treacle Jr.	Penguin	Languages
504	Arther Glanville	More Than Honey	Harper Collins	Languages
505	Liane Mabee	Paternity	MacMillan	Psychology
506	Emmet Taylour	Forty Shades of Blue	Hachette	Science
507	Tobe Endle	O Panishyros Megistanas Ton Ninja	Harper Collins	Thriller
508	Ernestine Donativo	"Life and Times of Hank Greenberg, The"	Simon & Schuster	Thriller
509	Kippar MacBey	Beerfest	Hachette	Romancs
510	Huntley Zorzi	"Gunfighter, The"	MacMillan	Self-help
511	Dora Henrichs	Rapado	Harper Collins	Self-help
512	Nikolas Murie	Girl Walk: All Day	Simon & Schuster	Languages
513	Stefano Heims	Up the Yangtze	Hachette	Thriller
514	Hollyanne Acres	Magic	Simon & Schuster	Science
515	Wash Bryce	Mission to Moscow	MacMillan	Self-help
516	Moritz Decourt	"Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?, The"	Simon & Schuster	Psychology
517	Redd Bratley	"Dance Party, USA"	Hachette	Thriller
518	Diandra Kanter	Spare Bed-Room	Simon & Schuster	Romancs
519	Gaye Fleeman	Homeward Bound: The Incredible Journey	Hachette	Psychology
520	Kessia Fitzsimon	Chitty Chitty Bang Bang	Penguin	Science
521	Dusty Mobbs	I'll Sleep When I'm Dead	Harper Collins	Thriller
522	Crissy Louth	Execution Squad	Harper Collins	Languages
523	Laina Bolus	Love's Long Journey	MacMillan	Thriller
524	Rhonda Mulliss	"Butcher, The (Boucher, Le)"	Penguin	Science
525	Sandy Megany	Man About Town	Hachette	Romancs
526	Dore Verden	War Stories	Harper Collins	Science
527	Inigo Pursey	Frogs for Snakes	Simon & Schuster	Romancs
528	Sibylle Schwanden	"Spider Baby or, The Maddest Story Ever Told (Spider Baby)"	Hachette	Self-help
529	Jarib Cottrell	"Codes of Gender, The"	Harper Collins	Languages
530	Torr Beddingham	"Wrong Arm of the Law, The"	Penguin	Languages
531	Holden Isgate	Akira	Penguin	Thriller
532	Nerty Doree	The Mountain of the Cannibal God	Harper Collins	Science
533	Jeane Brodeur	Shattered Image	MacMillan	Psychology
534	North Dobrovolski	Seeking Justice	Hachette	Romancs
535	Katlin Cornu	Danika	MacMillan	Languages
536	Anthea Beckmann	Undertow (Contracorriente)	Simon & Schuster	Romancs
537	Sanderson Perring	"Border Run (Mule, The)"	MacMillan	Languages
538	Maiga Soutter	Dying Breed	Hachette	Psychology
539	Camel Shiel	Maid to Order	Hachette	Self-help
540	Lethia Vernall	War Made Easy: How Presidents & Pundits Keep Spinning Us to Death	Hachette	Psychology
541	Shandeigh Simonard	Au Hasard Balthazar	Harper Collins	Self-help
542	Rowney Linke	Up	Penguin	Thriller
543	Sigfrid Davidou	xXx	Simon & Schuster	Self-help
544	Alica Whild	"Tale of Springtime, A (Conte de Printemps)"	Hachette	Romancs
545	Maiga Cleverley	"Big Parade, The"	MacMillan	Self-help
546	Grier Rozsa	Straight Shooting	MacMillan	Romancs
547	Diena Buncom	Enigma	MacMillan	Languages
548	Cliff Cressar	Louis C.K.: Live at The Comedy Store	Simon & Schuster	Science
549	Goldy Kiljan	JLG/JLG (JLG/JLG - autoportrait de décembre)	Harper Collins	Science
550	Cissy Oertzen	A Fight For	Harper Collins	Self-help
551	Louie Harfoot	"Curve, The (Dead Man's Curve)"	Simon & Schuster	Self-help
552	Kim Lawrence	Death and the Maiden	Hachette	Science
553	Al Graddon	Dr. Goldfoot and the Girl Bombs (Le spie vengono dal semifreddo)	Penguin	Science
554	Nessa Wolstenholme	Prayers for Bobby	Hachette	Psychology
555	Enid Brantzen	"Blue Angel, The"	MacMillan	Languages
556	Tracy Partington	36 Crazy Fists (San shi liu mi xing quan)	Penguin	Romancs
557	Flory MacLaren	...tick... tick... tick...	Harper Collins	Self-help
558	Bay Duxbarry	Mystery (Fu cheng mi shi)	Hachette	Self-help
559	Brandice Corneliussen	"Season for Miracles, A"	Simon & Schuster	Psychology
560	Tildi Gwillyam	History of Postwar Japan as Told by a Bar Hostess (Nippon Sengoshi - Madamu onboro no Seikatsu)	Harper Collins	Languages
561	Barclay Foden	"Cove, The"	MacMillan	Thriller
562	Elizabeth Tuckerman	Passion of Mind	MacMillan	Romancs
563	Claire Nacey	Big Daddy	Harper Collins	Languages
564	Maurie Vicarey	Hotel	Penguin	Science
565	Carolin Sculley	Sunset Strip	Penguin	Thriller
566	Janel Springtorpe	Running With Scissors	Hachette	Self-help
567	Dotty Andree	Ratatouille	MacMillan	Thriller
568	Justin Dunphy	Birds of America	MacMillan	Science
569	Guglielmo Skentelbury	God Said 'Ha!'	Hachette	Self-help
570	Aarika Muehler	Goliath Awaits	Harper Collins	Thriller
571	Tybi Baughan	I Can't Sleep (J'ai pas sommeil)	Hachette	Romancs
572	Cletis Norley	From Time to Time	Simon & Schuster	Romancs
573	Clement Trenbey	Boris Godunov	Hachette	Science
574	Hermon Beebee	Volunteers	Simon & Schuster	Romancs
575	Ray Latchford	Alcina	MacMillan	Self-help
576	Ruthie Jannasch	From the Life of the Marionettes (Aus dem Leben der Marionetten) 	MacMillan	Languages
577	Evania McDowall	But I'm a Cheerleader	Hachette	Science
578	Randene Shury	Meet Me at the Fair	MacMillan	Science
579	Margaretta Piche	Powder	Hachette	Self-help
580	Dunstan Heffernon	"Lord of the Rings: The Return of the King, The"	MacMillan	Science
581	Olenolin Reddick	Ghost Ship	Simon & Schuster	Languages
582	Lilias Lindstedt	"Model Couple, The (Le couple témoin)"	Simon & Schuster	Science
583	Henrieta Farnish	Rendition	MacMillan	Psychology
584	Sherilyn Sothcott	Täynnä Tarmoa	Penguin	Science
585	Darrel Gladdish	Dragonwyck	Simon & Schuster	Thriller
586	Drusilla Tuffield	Dr. No	Harper Collins	Thriller
587	Willy Walduck	Dead End	Hachette	Science
588	Port Daniells	Dragonheart 3: The Sorcerer's Curse	Hachette	Languages
589	Jesus Denman	Night and Day	Harper Collins	Science
590	Isa Kochl	This Is England	Harper Collins	Languages
591	Elna Caunt	Mudhoney	Hachette	Self-help
592	Elvis Splevin	Zoom	MacMillan	Self-help
593	Malcolm Seiler	Porgy and Bess	Penguin	Languages
594	Eleni Coye	Billy Bathgate	Hachette	Romancs
595	Hatty Boddice	It's a Bird	Simon & Schuster	Languages
596	Gabriella Matusov	"Kids in the Hall: Same Guys, New Dresses"	Penguin	Self-help
597	Luciano Alessandretti	Compulsion	Penguin	Self-help
598	Rivi Todari	Entrapment	MacMillan	Self-help
599	Dulciana Harwin	S.W.A.T.	Penguin	Romancs
600	Tallie La Padula	Thomas Jefferson	MacMillan	Psychology
601	Ninnette Lantoph	"Limits of Control, The"	Harper Collins	Thriller
602	Claybourne Cluney	Prophet's Prey	MacMillan	Languages
603	Korry Stiegers	Kingdom Come	Simon & Schuster	Languages
604	Skip MacMarcuis	Rockabilly Vampire	MacMillan	Psychology
605	Francklin Pietersma	Kill Theory	MacMillan	Psychology
606	Diarmid Newe	Beyond Re-Animator	Penguin	Psychology
607	Glynis Klampk	Time of Peace (Tempos de Paz)	Hachette	Thriller
608	Micheil De Vile	Stormbreaker (Alex Rider: Operation Stormbreaker)	Hachette	Self-help
609	Penny Croxall	Vollidiot	Penguin	Languages
610	Mayer Antognoni	Never Talk to Strangers	Harper Collins	Languages
611	Hastie Rounding	A Phantasy	MacMillan	Languages
612	Tristan Ramirez	Satan's Brew (Satansbraten)	Penguin	Psychology
613	Sophi Gimbart	Deficit (Déficit)	Penguin	Psychology
614	Ashlan Teasell	Bang Boom Bang - Ein todsicheres Ding	Harper Collins	Self-help
615	Kelbee Wagge	Lille Fridolf and I	Penguin	Languages
616	Carolan Pendrigh	Destry Rides Again	Harper Collins	Psychology
617	Hetty Dofty	3 Ring Circus	Penguin	Self-help
618	Charmion Depport	Feast of Love	Hachette	Science
619	Gui Mainwaring	High School	Penguin	Science
620	Josie Downer	Nacho Libre	Simon & Schuster	Thriller
621	Sunny Skiplorne	Arrapaho	Hachette	Science
622	Alistair Maharey	"Rendez-vous d'Anna, Les (Meetings of Anna, The)"	Simon & Schuster	Languages
623	Dyann Paolicchi	"Crawling Hand, The"	Hachette	Languages
624	Virgilio Crosson	Down and Out in Beverly Hills	Harper Collins	Science
625	Lillian Scarsbrick	"Princess Diaries 2: Royal Engagement, The"	Harper Collins	Self-help
626	Biddie Tuffey	Fist of the North Star	Harper Collins	Psychology
627	Sheffie Bellenger	The Missing	MacMillan	Psychology
628	Cristie Monnoyer	Fist of Jesus	Penguin	Science
629	Roy Rowet	Charlie Chan in Shanghai	Simon & Schuster	Romancs
630	Tanitansy Philipard	Full Moon in Paris (Les nuits de la pleine lune)	Simon & Schuster	Romancs
631	Cissy Mawford	Adopted	MacMillan	Self-help
632	Baily Bengal	Harry Potter and the Half-Blood Prince	Harper Collins	Psychology
633	Katrinka Pasley	Aelita: The Queen of Mars (Aelita)	Penguin	Psychology
634	Nicol Madill	"Fifth Cord, The (Giornata nera per l'ariete)"	Penguin	Psychology
635	Shanan Mathias	Thunder Soul	Simon & Schuster	Thriller
636	Farra Carberry	"Notebook, The"	Harper Collins	Self-help
637	Wheeler Roseburgh	Duplex	Simon & Schuster	Science
638	Miguel Haugeh	Abraham Lincoln: Vampire Hunter	MacMillan	Romancs
639	Ree Stedman	Equus	Hachette	Science
640	Conroy Lomas	Back to the Future Part II	Hachette	Psychology
641	Henderson Rowly	Creepshow	Simon & Schuster	Psychology
642	Lainey De Vaan	Frida	Penguin	Psychology
643	Ira Sagerson	Taxi	Hachette	Languages
644	Bobette Khrishtafovich	What Have I Done to Deserve This? (¿Qué he hecho yo para merecer esto!!)	Hachette	Romancs
645	Hanny Burnhill	Polytechnique	Hachette	Romancs
646	Aindrea Beetham	6 Desires: DH Lawrence and Sardinia	Hachette	Romancs
647	Wash Ancliffe	"Black Windmill, The"	MacMillan	Thriller
648	Antonina Wraight	Spellbound	Simon & Schuster	Psychology
649	Galvin Dane	Just Write	Harper Collins	Self-help
650	Brnaba Schimpke	Citizen Gangster 	Simon & Schuster	Thriller
651	Delainey Pyper	"No God, No Master"	Simon & Schuster	Science
652	Egon Cowe	Initial D (Tau man ji D)	Simon & Schuster	Languages
653	Carolann Quenby	Hallam Foe (Mister Foe)	Hachette	Thriller
654	Klaus Bramwell	Irene in Time	Hachette	Self-help
655	Sherwood Bearfoot	"Pirates Who Don't Do Anything: A VeggieTales Movie, The"	Hachette	Thriller
656	Nevil Kaygill	Pat Garrett and Billy the Kid	Hachette	Self-help
657	Gerik Picheford	"Awful Truth, The"	Harper Collins	Psychology
658	Leisha Bosket	Tycoon (Oligarkh)	Harper Collins	Self-help
659	Hana Girardini	Looking for Hortense (Cherchez Hortense) 	Penguin	Languages
660	Powell Brabin	Knuckleball!	Penguin	Psychology
661	Romain Hankey	Tyler Perry's Daddy's Little Girls	Hachette	Languages
662	Lennard Armistead	Charlie's Country	Penguin	Psychology
663	Velma Issacoff	"Night in Heaven, A"	Hachette	Self-help
664	Shellie Chugg	The Woman on Pier 13	Penguin	Psychology
665	Cally Woollin	"Castle of Cloads, The (Pilvilinna)"	Simon & Schuster	Thriller
666	Marlie Wing	Sesame Street Presents Follow That Bird	Simon & Schuster	Romancs
667	Durante Marzelo	Grass	Harper Collins	Thriller
668	Aleda Innot	Tarzan and the Lost City	MacMillan	Thriller
669	Hatti McIlmorie	Wanted: Dead or Alive	Penguin	Thriller
670	Archaimbaud Bell	"Ordet (Word, The)"	Penguin	Self-help
671	Kelly Brookesbie	Shadows in an Empty Room	Hachette	Languages
672	Cynthia Dullard	Reconstituirea (Reconstruction)	MacMillan	Psychology
673	Shina Strete	"Reivers, The"	Hachette	Romancs
674	Sybyl Shewon	White Frog	Harper Collins	Psychology
675	Leanor Mustin	Devil's Pond	Simon & Schuster	Science
676	Morris Poff	Joker	Harper Collins	Thriller
677	Jonie Iuorio	"Sarah, Plain and Tall"	Hachette	Science
678	Cathryn Pardi	"Nightmare in Las Cruces, A"	MacMillan	Romancs
679	Jarrid Lias	"Cab for Three, A (Taxi para tres)"	Hachette	Psychology
680	Rebe Spellard	Kiwi!	Penguin	Science
681	Gianni Rawkesby	Married to It	MacMillan	Languages
682	Jackqueline Alexandersson	Calling Dr. Gillespie	Simon & Schuster	Languages
683	George Zum Felde	Love in the Afternoon (Chloe in the Afternoon)  (L'amour l'après-midi)	Penguin	Psychology
684	Dorie Allaker	Jack Reacher	Simon & Schuster	Psychology
685	Anny Jamrowicz	Khodorkovsky	Hachette	Thriller
686	Dulcea Jeeks	Magnificent Obsession	Penguin	Psychology
687	Cleopatra Vergine	Agenda: Grinding America Down	Simon & Schuster	Psychology
688	Corette Stutt	"Court Jester, The"	Hachette	Languages
689	Morty Bennoe	Flowers in the Attic	MacMillan	Languages
690	Roland Adin	Sut (Milk)	MacMillan	Psychology
691	Muire Honsch	Taken	Penguin	Psychology
692	Twyla Stolberg	Valley Uprising	MacMillan	Psychology
693	Brittaney Madigan	Cremaster 5	Simon & Schuster	Psychology
694	Brand Deverill	Casting By	Harper Collins	Thriller
695	Kania Wilcockes	Sarah Silverman: Jesus Is Magic	Hachette	Thriller
696	Jeannie Hymas	Zouzou	MacMillan	Science
697	Valenka Pendle	Manborg	Penguin	Self-help
698	Dorolisa Parradye	"War Game, The"	Simon & Schuster	Thriller
699	Delia Bessett	Go Fish	Simon & Schuster	Thriller
700	Eimile Dowd	Broken Arrow	MacMillan	Thriller
701	Colver Camacke	Fade To Black	MacMillan	Languages
702	Candie Niemiec	Osaka Elegy (Naniwa erejî)	Hachette	Romancs
703	Iris Sarath	"Friend Among Strangers, Stranger Among Friends (Svoy sredi chuzhikh, chuzhoy sredi svoikh)"	Harper Collins	Self-help
704	Catherina Westmancoat	"Goodbye, Mr. Chips"	Simon & Schuster	Romancs
705	Luelle Matkin	Otello	Penguin	Romancs
706	Miranda Hugnot	Music From Another Room	Simon & Schuster	Self-help
707	Jacky McGuiness	How to Make Money Selling Drugs	Penguin	Psychology
708	Rodrique Camden	High Society	Penguin	Languages
709	Cati Goodge	Reclaim	Penguin	Thriller
710	Olivie Le - Count	Quiz Show	MacMillan	Science
711	Lucita Sherlock	Setup (Set Up)	Penguin	Self-help
712	Thornie Couche	"Dark Hours, The"	Penguin	Self-help
713	Jammie Coultish	"Original Kings of Comedy, The"	MacMillan	Romancs
714	Milton Bricksey	"Spiders, Part 2: The Diamond Ship, The (Die Spinnen, 2. Teil - Das Brillantenschiff)"	Simon & Schuster	Romancs
715	Ericha Edelston	Georgia	Penguin	Thriller
716	Wesley Wardel	"Beastmaster, The"	Simon & Schuster	Self-help
717	Chance Loader	"Power of One, The"	Hachette	Self-help
718	Daisy Van Velde	"Baby-Sitters Club, The"	MacMillan	Self-help
719	Cassy Ferras	Edge of Seventeen	Harper Collins	Thriller
720	Dana Dowdam	Lovers and Other Strangers	Hachette	Languages
721	Siusan Blick	"Fourth Protocol, The"	Penguin	Psychology
722	Laurie Lusted	Pelicanman (Pelikaanimies)	MacMillan	Thriller
723	Rodger Ticksall	"Golem, The (Golem, wie er in die Welt kam, Der)"	Harper Collins	Thriller
724	Yorke Hinkins	"War, The"	Penguin	Science
725	Clint Gaiger	To Be or Not to Be	MacMillan	Science
726	Brnaba Paolotto	Jive Turkey	MacMillan	Psychology
727	Rivkah Gebbie	Titanic	Penguin	Languages
728	Lulu Heakins	"Institute, The"	MacMillan	Romancs
729	Allyn Ewington	Menace II Society	Penguin	Self-help
730	Warde Janc	Slaughter of the Innocents	Simon & Schuster	Thriller
731	Towny Cuddon	Babyfever	Hachette	Psychology
732	Jen Fardo	Presumed Innocent	Simon & Schuster	Thriller
733	Chicky Teek	Hit Lady	Simon & Schuster	Thriller
734	Ellerey Bricknall	Tag: The Assassination Game (a.k.a. Everybody Gets It in the End)	Hachette	Psychology
735	Blinny Mabson	Skins	Harper Collins	Self-help
736	Alvan Brakewell	Nine Deaths of the Ninja	MacMillan	Romancs
737	Gregor Cogley	Run Ronnie Run	Hachette	Science
738	Meridel MacDonell	Hondo	Hachette	Psychology
739	Cynthie Aymer	Wallace & Gromit: The Wrong Trousers	Hachette	Psychology
740	Normie Stockings	Paul Blart: Mall Cop	MacMillan	Psychology
741	Eal Tilbey	Meatballs	Hachette	Languages
742	Inger Thunders	Goodbye Lover	Penguin	Romancs
743	Salvatore Bullon	RiP: A Remix Manifesto	Hachette	Psychology
744	Travis Meriott	Aileen Wuornos: The Selling of a Serial Killer	Penguin	Languages
745	Edwin Magister	Corpo Celeste	Harper Collins	Self-help
746	Ashlin Benham	Mais qui a tué Pamela Rose?	MacMillan	Romancs
747	Beatrice Jakab	Bird on a Wire	Simon & Schuster	Psychology
748	Dorella Postin	One Good Cop	MacMillan	Languages
749	Mitchael Crichten	"Thin Man Goes Home, The"	Hachette	Self-help
750	Mora Crinson	Shakthi: The Power	Hachette	Psychology
751	Arne Harmour	Four Sons	Harper Collins	Psychology
752	Waylon Feake	Recount	MacMillan	Thriller
753	Erhart Morriss	Declaration of War (La Guerre est Déclarée)	Penguin	Languages
754	Lira Bosse	Elfie Hopkins: Cannibal Hunter	Penguin	Romancs
755	Hardy Sarchwell	Dead Men Tell	Harper Collins	Languages
756	Ulrick Heineke	War of the Robots (La guerra dei robot)	MacMillan	Thriller
757	Pieter Di Giorgio	Airport '77	MacMillan	Thriller
758	Hieronymus Arens	Beethoven's 5th	Penguin	Languages
759	Portia Barlthrop	Katatsumori	Penguin	Science
760	Collie Yakunin	Lost in America	Hachette	Science
761	Shirline Batteson	Foul Play	MacMillan	Science
762	Chaim Drewell	"Parisienne, La (Une parisienne)"	Penguin	Languages
763	Taber Lace	An American Hippie in Israel	Penguin	Thriller
764	Priscilla Pepi	"Color of Money, The"	Penguin	Science
765	Hettie Stainland	Margaret	Penguin	Thriller
766	Jonathon Gronous	Working Girl	MacMillan	Languages
767	Tammi Iveson	District 13: Ultimatum (Banlieue 13 - Ultimatum)	MacMillan	Self-help
768	Scarlet Fominov	Blissfully Yours (Sud sanaeha)	Penguin	Science
769	Boyd Shedd	"New Daughter, The"	Harper Collins	Psychology
770	Milt Redmore	Hurlyburly	Penguin	Languages
771	Petr Crate	Making Love	Hachette	Languages
772	Fanchon Dudderidge	Dan in Real Life	Hachette	Thriller
773	Etta Kyngdon	Bengazi	Hachette	Romancs
774	Edouard Sapseed	Dillinger	Hachette	Psychology
775	Estelle Salsbury	Wedding Crashers	MacMillan	Romancs
776	Maye Abramowitch	Frankenstein Meets the Wolf Man	Harper Collins	Thriller
777	Lorie Trowill	Girls Town	Simon & Schuster	Science
778	Tammie Jukes	Frozen	Harper Collins	Romancs
779	Israel Gilchriest	Red Ensign	Harper Collins	Languages
780	Tova Toop	"Way South, The (De weg naar het zuiden)"	MacMillan	Romancs
781	Luciano Olive	"Foreigner, The"	Simon & Schuster	Romancs
782	Fields Maier	In the Line of Duty: The F.B.I. Murders	Simon & Schuster	Languages
783	Pascal Kingerby	Whatever	MacMillan	Romancs
784	Drusilla Beetlestone	"Night Stalker, The"	MacMillan	Psychology
785	Enrika Antonnikov	Charlie Chan in Dangerous Money	Harper Collins	Romancs
786	Drusy Troy	"Man Who Wasn't There, The"	Hachette	Science
787	Ema Waadenburg	The Gambler	Penguin	Languages
788	Sabina Goaks	Twin Sitters	Harper Collins	Languages
789	Bernie Izkoveski	Leviathan	Harper Collins	Science
790	Nike Bentley	Commandments	MacMillan	Science
791	Dennis Landrieu	Invaders from Space	Simon & Schuster	Science
792	Dianna Dignall	Who Killed Nancy?	Harper Collins	Self-help
793	Russ Aery	Miracle on 34th Street	MacMillan	Self-help
794	Garwin Boggis	My Life in Orange (Sommer in Orange)	Penguin	Self-help
795	Bobine Cullagh	To Live (Huozhe)	Hachette	Thriller
796	Marrilee Drinkhall	Swept Away	MacMillan	Romancs
797	Hagan Kenwright	"Eleventh Hour, The"	Hachette	Science
798	Eryn MacCosty	Time of Peace (Tempos de Paz)	Penguin	Science
799	Federico Pickthorn	Great Expectations	Harper Collins	Science
800	Coleen Toderini	"Art of War, The"	Harper Collins	Romancs
801	Tatiana Rilings	Demon Lover Diary	Harper Collins	Languages
802	Natalya Style	Ascension	Harper Collins	Languages
803	Niko Hearfield	Rules of Engagement	Simon & Schuster	Science
804	Morna Vinau	Field of Dreams	Simon & Schuster	Self-help
805	Zach Comoletti	"Rink, The"	Penguin	Languages
806	Marshal Ashwin	Crimetime	MacMillan	Science
807	Damiano Priver	Dead Snow (Død snø)	Harper Collins	Languages
808	Prent Byham	"Virgin Spring, The (Jungfrukällan)"	Hachette	Romancs
809	Tomi Auchterlonie	"Omega Man, The"	Harper Collins	Romancs
810	Panchito Francesc	Innocent Voices (Voces inocentes)	MacMillan	Self-help
811	Rudie Linner	End of the Century: The Story of the Ramones	Simon & Schuster	Languages
812	Bobina Klaiser	Privilege	Simon & Schuster	Languages
813	Leo Stockey	Flicker	Simon & Schuster	Romancs
814	Worthington Wooffinden	V/H/S	Simon & Schuster	Science
815	Enrique Bentham3	"Strange Color Of Your Body's Tears, The (L'étrange couleur des larmes de ton corps)"	Simon & Schuster	Thriller
